Statistical profiling result from isolate-0x105800000-v8.log, (71385 ticks, 5238 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:727:18
      6    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:12609:41
      6    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      6    0.0%    0.0%  Function: ~isPrototype /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6415:25
      6    0.0%    0.0%  Function: ~interpolate /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1784:27
      6    0.0%    0.0%  Function: ~benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:30:40
      6    0.0%    0.0%  Function: ~apply /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:492:17
      6    0.0%    0.0%  Builtin: Typeof
      6    0.0%    0.0%  Builtin: ToObject
      6    0.0%    0.0%  Builtin: CompileLazy
      5    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {5}
      5    0.0%    0.0%  RegExp: (__e\\(.*?\\)|\\b__t\\)) \\+\\n'';
      5    0.0%    0.0%  LazyCompile: *benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:34:61
      5    0.0%    0.0%  Function: ~hrtime internal/process.js:77:35
      5    0.0%    0.0%  Function: ~com.cognitect.transducers.transduce /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1058:47
      5    0.0%    0.0%  Function: ~benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:38:61
      5    0.0%    0.0%  Function: ~benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:26:44
      5    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:4874:31
      5    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:570:40
      5    0.0%    0.0%  Builtin: StringPrototypeReplace
      5    0.0%    0.0%  Builtin: RegExpConstructor
      5    0.0%    0.0%  Builtin: ForInFilter
      4    0.0%    0.0%  Stub: CEntryStub
      4    0.0%    0.0%  RegExp: \\b(__p \\+=) '' \\+
      4    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {4}
      4    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {3}
      4    0.0%    0.0%  LazyCompile: *hasPath /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6158:21
      4    0.0%    0.0%  LazyCompile: *Event /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:415:19
      4    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14785:44
      4    0.0%    0.0%  Function: ~update /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1858:22
      4    0.0%    0.0%  Function: ~template /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14748:22
      4    0.0%    0.0%  Function: ~now /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:9977:33
      4    0.0%    0.0%  Function: ~listCacheGet /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2087:26
      4    0.0%    0.0%  Function: ~isAsync /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:915:23
      4    0.0%    0.0%  Function: ~has /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:13146:17
      4    0.0%    0.0%  Function: ~cycle /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1984:19
      4    0.0%    0.0%  Function: ~ListCache /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2029:23
      4    0.0%    0.0%  Function: ~Function: ~<anonymous> :1:10
      4    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:695:33
      4    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1214:43
      4    0.0%    0.0%  Builtin: RegExpPrototypeTest
      4    0.0%    0.0%  Builtin: MathRandom
      4    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      4    0.0%    0.0%  Builtin: JSEntryTrampoline
      4    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      4    0.0%    0.0%  Builtin: FastNewObject
      3    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {9}
      3    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {8}
      3    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {11}
      3    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {10}
      3    0.0%    0.0%  LazyCompile: *toString native array.js:249:50
      3    0.0%    0.0%  LazyCompile: *arrayEach /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:532:21
      3    0.0%    0.0%  LazyCompile: *apply /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:492:17
      3    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:1:11
      3    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      3    0.0%    0.0%  Function: ~reset /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1444:19
      3    0.0%    0.0%  Function: ~isPlainObject /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:12050:27
      3    0.0%    0.0%  Function: ~execute /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:849:23
      3    0.0%    0.0%  Function: ~escapeStringChar /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:1137:28
      3    0.0%    0.0%  Function: ~eq /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11198:16
      3    0.0%    0.0%  Function: ~cloneDeepWith /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11133:27
      3    0.0%    0.0%  Function: ~baseKeys /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3493:22
      3    0.0%    0.0%  Function: ~arrayReduce /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:696:23
      3    0.0%    0.0%  Function: ~UseSparseVariant native array.js:62:26
      3    0.0%    0.0%  Function: ~StackPush native array.js:80:19
      3    0.0%    0.0%  Function: ~StackHas native array.js:86:18
      3    0.0%    0.0%  Function: ~DoJoin native array.js:95:16
      3    0.0%    0.0%  Function: ~ArraySpliceFallback native array.js:492:29
      3    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:727:18
      3    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6585:22
      3    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:12685:47
      3    0.0%    0.0%  Builtin: ToString
      3    0.0%    0.0%  Builtin: ObjectKeys
      3    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCallFunction
      3    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      2    0.0%    0.0%  Stub: RecordWriteStub {3}
      2    0.0%    0.0%  Stub: RecordWriteStub {1}
      2    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {7}
      2    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {2}
      2    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {12}
      2    0.0%    0.0%  LazyCompile: *wrapper /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:5191:23
      2    0.0%    0.0%  LazyCompile: *UseSparseVariant native array.js:62:26
      2    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:4936:22
      2    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1466:39
      2    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot
      2    0.0%    0.0%  Function: ~wrapper /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:5191:23
      2    0.0%    0.0%  Function: ~varOf /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1904:29
      2    0.0%    0.0%  Function: ~run /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:2093:17
      2    0.0%    0.0%  Function: ~off /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1265:17
      2    0.0%    0.0%  Function: ~isObject /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11757:22
      2    0.0%    0.0%  Function: ~insert timers.js:158:16
      2    0.0%    0.0%  Function: ~inc /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:8:13
      2    0.0%    0.0%  Function: ~getSymbols /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6050:62
      2    0.0%    0.0%  Function: ~getRes /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1735:22
      2    0.0%    0.0%  Function: ~forEach /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:9357:21
      2    0.0%    0.0%  Function: ~com.cognitect.transducers.slice /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:650:43
      2    0.0%    0.0%  Function: ~baseHas /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3104:21
      2    0.0%    0.0%  Function: ~arrayLikeKeys /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2404:27
      2    0.0%    0.0%  Function: ~StackPop native array.js:83:18
      2    0.0%    0.0%  Function: ~Event /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:415:19
      2    0.0%    0.0%  Function: ~Eval: ~<anonymous> :1:1
      2    0.0%    0.0%  Function: ~Benchmark /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:356:23
      2    0.0%    0.0%  Function: ~ArraySliceFallback native array.js:443:28
      2    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:748:18
      2    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:639:83
      2    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:15225:36
      2    0.0%    0.0%  Builtin: StoreICStrict_Uninitialized
      2    0.0%    0.0%  Builtin: NewUnmappedArgumentsElements
      2    0.0%    0.0%  Builtin: LoadICProtoArray
      2    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
      2    0.0%    0.0%  Builtin: FunctionPrototypeApply
      2    0.0%    0.0%  Builtin: FastNewSloppyArguments
      2    0.0%    0.0%  Builtin: DeleteProperty
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      2    0.0%    0.0%  Builtin: ArrayMap
      1    0.0%    0.0%  Stub: StringAddStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub
      1    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub {1}
      1    0.0%    0.0%  RegExp: ^on[A-Z]
      1    0.0%    0.0%  RegExp: ^_|^events$|^on[A-Z]
      1    0.0%    0.0%  RegExp: ^\\w*$
      1    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {6}
      1    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {1}
      1    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {14}
      1    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$ {13}
      1    0.0%    0.0%  RegExp: <%-([\\s\\S]+?)%>|<%=([\\s\\S]+?)%>|\\$\\{([^\\\\}]*(?:\\\\.[^\\\\}]*)*)\\}|<%([\\s\\S]+?)%>|$
      1    0.0%    0.0%  LoadIC: A load IC from the snapshot {1}
      1    0.0%    0.0%  LazyCompile: *isPrototype /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6415:25
      1    0.0%    0.0%  LazyCompile: *hrtime internal/process.js:77:35
      1    0.0%    0.0%  LazyCompile: *forEach /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:9357:21
      1    0.0%    0.0%  LazyCompile: *copyObject /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:4799:24
      1    0.0%    0.0%  LazyCompile: *com.cognitect.transducers.slice /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:650:43
      1    0.0%    0.0%  LazyCompile: *com.cognitect.transducers.Filter.@@transducer/result /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:738:77
      1    0.0%    0.0%  LazyCompile: *baseKeysIn /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3513:24
      1    0.0%    0.0%  LazyCompile: *StackPush native array.js:80:19
      1    0.0%    0.0%  LazyCompile: *SimpleSlice native array.js:211:21
      1    0.0%    0.0%  LazyCompile: *Object native v8natives.js:18:27
      1    0.0%    0.0%  LazyCompile: *ArraySliceFallback native array.js:443:28
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2696:41
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:15225:36
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14842:36
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:495:59
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Function: ~wcwidth /Users/danielo/GIT/benchmarks-js/node_modules/wcwidth/index.js:59:17
      1    0.0%    0.0%  Function: ~toKey /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6770:19
      1    0.0%    0.0%  Function: ~strictIndexOf /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:1292:25
      1    0.0%    0.0%  Function: ~stackGet /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2344:22
      1    0.0%    0.0%  Function: ~remove internal/linkedlist.js:15:16
      1    0.0%    0.0%  Function: ~normalizeStringPosix path.js:106:30
      1    0.0%    0.0%  Function: ~noop /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:15733:18
      1    0.0%    0.0%  Function: ~keys /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:13284:18
      1    0.0%    0.0%  Function: ~isObjectLike /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11786:26
      1    0.0%    0.0%  Function: ~isLength /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11727:22
      1    0.0%    0.0%  Function: ~isFunction /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11661:24
      1    0.0%    0.0%  Function: ~isBuffer buffer.js:396:36
      1    0.0%    0.0%  Function: ~isArrayLike /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:11346:25
      1    0.0%    0.0%  Function: ~initCloneObject /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6206:29
      1    0.0%    0.0%  Function: ~indexOf /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:7467:21
      1    0.0%    0.0%  Function: ~hasPath /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6158:21
      1    0.0%    0.0%  Function: ~getNext /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:868:23
      1    0.0%    0.0%  Function: ~getIteratee /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:5962:25
      1    0.0%    0.0%  Function: ~getAllKeys /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:5890:24
      1    0.0%    0.0%  Function: ~forOwn /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:13001:20
      1    0.0%    0.0%  Function: ~enqueue /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1843:23
      1    0.0%    0.0%  Function: ~defineIDLClass internal/url.js:888:24
      1    0.0%    0.0%  Function: ~createSingleTimeout timers.js:454:29
      1    0.0%    0.0%  Function: ~copyObject /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:4799:24
      1    0.0%    0.0%  Function: ~com.cognitect.transducers.wrap /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:670:42
      1    0.0%    0.0%  Function: ~com.cognitect.transducers.reduce /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1040:44
      1    0.0%    0.0%  Function: ~com.cognitect.transducers.into /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1081:42
      1    0.0%    0.0%  Function: ~com.cognitect.transducers.arrayReduce /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1010:49
      1    0.0%    0.0%  Function: ~baseKeysIn /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3513:24
      1    0.0%    0.0%  Function: ~baseIteratee /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3469:26
      1    0.0%    0.0%  Function: ~baseGetAllKeys /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3062:28
      1    0.0%    0.0%  Function: ~baseForOwn /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3000:24
      1    0.0%    0.0%  Function: ~baseDelay /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2757:23
